	Sos	Ras	Raf1	Mek	Erk	P90Rsk	PI3K	Akt	C3G	Rap1	bRaf
Sos	-1.0	0.5055076000980772	0.0	0.0	0.0	-0.39609681440724565	0.0	0.0	0.0	0.0	0.0
Ras	0.946759120449693	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Raf1	0.4275061362567282	0.5524464835114125	-1.0	0.0	0.0	0.0	0.0	-0.3454915068966728	0.0	0.0	0.0
Mek	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08310822735456726
Erk	0.0	0.0	0.0	0.03269709034958022	-1.0	0.0	0.0	0.0	0.0	0.0	0.0
P90Rsk	0.0	0.0	0.0	0.0	0.2113508390990586	-1.0	0.0	0.0	0.0	0.0	0.0
PI3K	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0
Akt	0.0	0.0	0.0	0.0	0.0	0.0	0.3684761603593003	-1.0	0.0	0.0	0.0
C3G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.3310568832862376	0.0
Rap1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9478700781310563	-1.0	0.0
bRaf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4607907399732282	-1.0
